id,time,x,y,z,pulse
346,11083.0,-0.05,0.07,0.58,333.0
347,11115.0,-0.06,0.06,0.58,333.0
348,11148.0,-0.05,0.06,0.59,334.0
349,11180.0,-0.06,0.07,0.58,332.0
350,11212.0,-0.07,0.05,0.57,334.0
351,11244.0,-0.07,0.05,0.57,333.0
352,11277.0,-0.06,0.04,0.58,332.0
353,11309.0,-0.07,0.06,0.58,333.0
354,11341.0,-0.06,0.06,0.59,333.0
355,11373.0,-0.04,0.08,0.59,333.0
356,11406.0,-0.04,0.08,0.6,333.0
357,11438.0,-0.04,0.08,0.59,333.0
358,11470.0,-0.05,0.07,0.59,332.0
359,11502.0,-0.04,0.06,0.59,333.0
360,11535.0,-0.04,0.07,0.58,333.0
361,11567.0,-0.04,0.08,0.59,336.0
362,11599.0,-0.05,0.06,0.58,334.0
363,11631.0,-0.07,0.06,0.58,332.0
364,11664.0,-0.07,0.05,0.58,331.0
365,11696.0,-0.07,0.07,0.58,332.0
366,11728.0,-0.07,0.05,0.58,333.0
367,11761.0,-0.07,0.04,0.57,334.0
368,11793.0,-0.07,0.05,0.56,331.0
369,11826.0,-0.07,0.06,0.57,333.0
370,11857.0,-0.05,0.06,0.57,334.0
371,11890.0,-0.04,0.07,0.59,333.0
372,11922.0,-0.04,0.08,0.58,332.0
373,11955.0,-0.05,0.07,0.59,332.0
374,11986.0,-0.04,0.06,0.58,331.0
375,12019.0,-0.04,0.07,0.59,332.0
376,12051.0,-0.04,0.08,0.59,333.0
377,12084.0,-0.04,0.07,0.6,333.0
378,12115.0,-0.05,0.06,0.57,334.0
379,12148.0,-0.05,0.04,0.57,332.0
380,12180.0,-0.07,0.07,0.6,332.0
381,12213.0,-0.06,0.06,0.56,333.0
382,12244.0,-0.06,0.06,0.57,333.0
383,12277.0,-0.06,0.06,0.58,335.0
384,12309.0,-0.06,0.07,0.58,334.0
385,12342.0,-0.06,0.06,0.58,333.0
386,12374.0,-0.04,0.07,0.58,331.0
387,12406.0,-0.05,0.07,0.6,336.0
388,12438.0,-0.05,0.08,0.59,334.0
389,12471.0,-0.06,0.06,0.58,333.0
390,12503.0,-0.06,0.07,0.57,331.0
391,12535.0,-0.05,0.06,0.58,330.0
392,12567.0,-0.05,0.07,0.57,333.0
393,12600.0,-0.04,0.07,0.58,334.0
394,12632.0,-0.05,0.06,0.57,335.0
395,12664.0,-0.05,0.05,0.58,332.0
396,12696.0,-0.06,0.05,0.58,332.0
397,12729.0,-0.06,0.05,0.57,332.0
398,12761.0,-0.06,0.05,0.57,333.0
399,12793.0,-0.07,0.05,0.57,334.0
400,12825.0,-0.06,0.04,0.56,335.0
401,12858.0,-0.05,0.07,0.57,332.0
402,12890.0,-0.05,0.08,0.59,334.0
403,12922.0,-0.05,0.07,0.59,333.0
404,12954.0,-0.04,0.08,0.6,331.0
405,12987.0,-0.04,0.08,0.59,332.0
406,13019.0,-0.05,0.08,0.59,332.0
407,13051.0,-0.05,0.06,0.58,333.0
408,13083.0,-0.05,0.06,0.58,332.0
409,13116.0,-0.05,0.05,0.58,332.0
410,13148.0,-0.05,0.04,0.56,335.0
411,13180.0,-0.06,0.06,0.58,335.0
412,13212.0,-0.06,0.07,0.58,334.0
413,13245.0,-0.06,0.04,0.57,333.0
414,13277.0,-0.06,0.05,0.58,334.0
415,13309.0,-0.07,0.05,0.58,333.0
416,13342.0,-0.06,0.05,0.56,335.0
417,13374.0,-0.05,0.06,0.58,333.0
418,13407.0,-0.05,0.08,0.58,334.0
419,13438.0,-0.02,0.08,0.59,334.0
420,13471.0,-0.04,0.08,0.6,333.0
421,13503.0,-0.04,0.06,0.57,334.0
422,13536.0,-0.05,0.07,0.59,334.0
423,13568.0,-0.06,0.06,0.59,334.0
424,13600.0,-0.04,0.06,0.58,332.0
425,13632.0,-0.06,0.07,0.58,332.0
426,13665.0,-0.07,0.05,0.58,334.0
427,13697.0,-0.06,0.03,0.57,333.0
428,13729.0,-0.06,0.06,0.58,332.0
429,13761.0,-0.07,0.06,0.57,329.0
430,13794.0,-0.07,0.04,0.57,330.0
431,13826.0,-0.05,0.05,0.56,332.0
432,13858.0,-0.06,0.06,0.57,333.0
433,13890.0,-0.05,0.06,0.59,332.0
434,13923.0,-0.04,0.06,0.57,333.0
435,13955.0,-0.04,0.08,0.58,333.0
436,13987.0,-0.05,0.07,0.58,335.0
437,14019.0,-0.05,0.06,0.58,334.0
438,14052.0,-0.05,0.06,0.57,332.0
439,14084.0,-0.06,0.05,0.56,333.0
440,14116.0,-0.04,0.08,0.58,332.0
441,14148.0,-0.06,0.06,0.59,335.0
442,14181.0,-0.06,0.06,0.6,333.0
443,14213.0,-0.06,0.04,0.58,334.0
444,14245.0,-0.06,0.02,0.56,332.0
445,14277.0,-0.06,0.06,0.58,332.0
446,14310.0,-0.05,0.03,0.56,334.0
447,14342.0,-0.07,0.06,0.57,333.0
448,14374.0,-0.05,0.04,0.57,334.0
449,14406.0,-0.05,0.05,0.58,335.0
450,14439.0,-0.04,0.07,0.57,333.0
451,14471.0,-0.04,0.08,0.58,331.0
452,14503.0,-0.06,0.07,0.58,331.0
453,14535.0,-0.05,0.07,0.59,332.0
454,14568.0,-0.04,0.07,0.57,334.0
455,14600.0,-0.05,0.08,0.6,334.0
456,14632.0,-0.05,0.07,0.6,331.0
457,14664.0,-0.06,0.05,0.58,332.0
458,14697.0,-0.07,0.06,0.57,333.0
459,14729.0,-0.06,0.07,0.59,332.0
460,14761.0,-0.07,0.04,0.58,333.0
461,14793.0,-0.07,0.06,0.58,333.0
462,14826.0,-0.06,0.05,0.57,332.0
463,14858.0,-0.06,0.05,0.58,332.0
464,14891.0,-0.05,0.06,0.56,332.0
465,14922.0,-0.05,0.06,0.58,333.0
466,14955.0,-0.05,0.07,0.57,334.0
467,14988.0,-0.04,0.08,0.6,335.0
468,15020.0,-0.06,0.07,0.58,333.0
469,15052.0,-0.05,0.07,0.59,332.0
470,15084.0,-0.05,0.07,0.6,331.0
471,15117.0,-0.04,0.06,0.57,333.0
472,15149.0,-0.04,0.08,0.59,332.0
473,15181.0,-0.05,0.05,0.59,332.0
474,15213.0,-0.07,0.05,0.58,331.0
475,15246.0,-0.07,0.04,0.58,332.0
476,15278.0,-0.07,0.04,0.56,333.0
477,15310.0,-0.06,0.05,0.57,334.0
478,15342.0,-0.05,0.04,0.57,335.0
479,15375.0,-0.05,0.06,0.57,337.0
480,15407.0,-0.06,0.06,0.57,338.0
481,15439.0,-0.05,0.08,0.61,334.0
482,15471.0,-0.04,0.08,0.59,330.0
483,15504.0,-0.04,0.08,0.59,329.0
484,15536.0,-0.05,0.05,0.58,328.0
485,15568.0,-0.06,0.06,0.59,330.0
486,15600.0,-0.05,0.08,0.59,330.0
487,15633.0,-0.05,0.06,0.57,332.0
488,15665.0,-0.06,0.05,0.57,333.0
489,15697.0,-0.06,0.06,0.57,334.0
490,15729.0,-0.07,0.04,0.59,333.0
491,15762.0,-0.06,0.06,0.57,333.0
492,15794.0,-0.06,0.07,0.59,334.0
493,15826.0,-0.06,0.05,0.57,334.0
494,15858.0,-0.07,0.06,0.58,333.0
495,15891.0,-0.06,0.05,0.58,334.0
496,15923.0,-0.06,0.06,0.57,334.0
497,15955.0,-0.03,0.08,0.58,332.0
498,15987.0,-0.03,0.08,0.59,334.0
499,16020.0,-0.04,0.08,0.59,334.0
500,16052.0,-0.05,0.06,0.58,333.0
501,16084.0,-0.05,0.07,0.6,332.0
502,16116.0,-0.05,0.05,0.58,333.0
503,16149.0,-0.04,0.07,0.58,331.0
504,16181.0,-0.05,0.07,0.59,331.0
505,16214.0,-0.06,0.07,0.6,333.0
506,16245.0,-0.06,0.06,0.59,332.0
507,16278.0,-0.06,0.06,0.59,331.0
508,16310.0,-0.06,0.05,0.57,332.0
509,16343.0,-0.05,0.06,0.58,334.0
510,16374.0,-0.06,0.05,0.58,335.0
511,16407.0,-0.06,0.05,0.58,335.0
512,16439.0,-0.05,0.06,0.59,334.0
513,16472.0,-0.04,0.06,0.56,331.0
514,16504.0,-0.04,0.08,0.6,332.0
515,16536.0,-0.05,0.08,0.58,334.0
516,16569.0,-0.05,0.08,0.58,334.0
517,16601.0,-0.05,0.06,0.57,332.0
518,16633.0,-0.06,0.06,0.58,331.0
519,16665.0,-0.05,0.07,0.58,331.0
520,16698.0,-0.05,0.07,0.59,334.0
521,16730.0,-0.07,0.07,0.58,335.0
522,16762.0,-0.06,0.06,0.58,335.0
523,16794.0,-0.06,0.05,0.58,332.0
524,16827.0,-0.06,0.06,0.57,331.0
525,16859.0,-0.06,0.06,0.58,332.0
526,16891.0,-0.06,0.07,0.59,334.0
527,16923.0,-0.06,0.07,0.59,333.0
528,16956.0,-0.05,0.06,0.59,332.0
529,16988.0,-0.05,0.07,0.58,333.0
530,17020.0,-0.05,0.07,0.58,333.0
531,17052.0,-0.04,0.07,0.58,333.0
532,17085.0,-0.05,0.08,0.59,333.0
533,17117.0,-0.05,0.06,0.59,333.0
534,17149.0,-0.05,0.07,0.6,332.0
535,17181.0,-0.05,0.06,0.59,332.0
536,17214.0,-0.05,0.05,0.58,333.0
537,17246.0,-0.07,0.05,0.57,334.0
538,17278.0,-0.06,0.05,0.57,335.0
539,17310.0,-0.05,0.05,0.59,333.0
540,17343.0,-0.05,0.07,0.58,332.0
541,17375.0,-0.06,0.05,0.58,332.0
542,17408.0,-0.06,0.06,0.58,333.0
543,17439.0,-0.05,0.05,0.6,334.0
544,17472.0,-0.06,0.06,0.57,332.0
545,17504.0,-0.05,0.07,0.59,332.0
546,17537.0,-0.04,0.07,0.58,331.0
547,17568.0,-0.05,0.08,0.59,333.0
548,17601.0,-0.04,0.08,0.6,334.0
549,17633.0,-0.06,0.06,0.57,334.0
550,17666.0,-0.04,0.07,0.59,334.0
551,17697.0,-0.05,0.08,0.59,333.0
552,17730.0,-0.05,0.07,0.59,331.0
553,17762.0,-0.06,0.06,0.58,331.0
554,17795.0,-0.06,0.07,0.58,332.0
555,17826.0,-0.06,0.07,0.59,333.0
556,17859.0,-0.06,0.06,0.59,332.0
557,17891.0,-0.06,0.05,0.57,332.0
558,17924.0,-0.06,0.05,0.58,335.0
559,17955.0,-0.05,0.06,0.58,334.0
560,17988.0,-0.04,0.08,0.58,333.0
561,18020.0,-0.04,0.06,0.57,331.0
562,18053.0,-0.04,0.07,0.59,332.0
563,18084.0,-0.06,0.06,0.57,332.0
564,18117.0,-0.05,0.08,0.58,333.0
565,18150.0,-0.05,0.08,0.58,335.0
566,18182.0,-0.04,0.07,0.59,336.0
567,18214.0,-0.05,0.06,0.6,333.0
568,18246.0,-0.06,0.07,0.58,332.0
569,18279.0,-0.06,0.06,0.58,332.0
570,18311.0,-0.06,0.05,0.58,333.0
571,18343.0,-0.07,0.04,0.58,334.0
572,18375.0,-0.06,0.04,0.57,334.0
573,18408.0,-0.06,0.05,0.58,334.0
574,18440.0,-0.07,0.06,0.58,334.0
575,18472.0,-0.03,0.06,0.57,334.0
576,18504.0,-0.04,0.08,0.59,335.0
577,18537.0,-0.05,0.07,0.59,334.0
578,18569.0,-0.04,0.07,0.58,334.0
579,18601.0,-0.05,0.08,0.59,334.0
580,18633.0,-0.04,0.07,0.57,333.0
581,18666.0,-0.05,0.07,0.57,333.0
