id,time,x,y,z,pulse
279,8931.0,-0.35,-0.25,0.47,322.0
280,8963.0,-0.35,-0.29,0.49,320.0
281,8995.0,-0.33,-0.27,0.49,320.0
282,9027.0,-0.34,-0.28,0.49,324.0
283,9060.0,-0.35,-0.27,0.5,324.0
284,9092.0,-0.38,-0.28,0.48,322.0
285,9124.0,-0.38,-0.3,0.48,320.0
286,9156.0,-0.37,-0.29,0.49,319.0
287,9189.0,-0.36,-0.28,0.49,323.0
288,9221.0,-0.35,-0.29,0.48,331.0
289,9253.0,-0.37,-0.29,0.47,337.0
290,9285.0,-0.37,-0.29,0.45,349.0
291,9318.0,-0.37,-0.28,0.45,349.0
292,9350.0,-0.36,-0.28,0.48,346.0
293,9382.0,-0.37,-0.28,0.46,339.0
294,9414.0,-0.34,-0.27,0.47,334.0
295,9447.0,-0.35,-0.29,0.48,328.0
296,9479.0,-0.36,-0.29,0.48,327.0
297,9511.0,-0.37,-0.31,0.48,329.0
298,9543.0,-0.35,-0.3,0.45,327.0
299,9576.0,-0.35,-0.33,0.49,327.0
300,9608.0,-0.36,-0.32,0.52,322.0
301,9640.0,-0.36,-0.32,0.48,324.0
302,9672.0,-0.38,-0.32,0.44,324.0
303,9705.0,-0.38,-0.29,0.42,320.0
304,9737.0,-0.36,-0.32,0.44,319.0
305,9769.0,-0.35,-0.34,0.45,318.0
306,9801.0,-0.33,-0.36,0.47,325.0
307,9834.0,-0.34,-0.36,0.45,330.0
308,9866.0,-0.36,-0.33,0.43,340.0
309,9899.0,-0.35,-0.34,0.42,345.0
310,9930.0,-0.35,-0.35,0.44,346.0
311,9963.0,-0.33,-0.35,0.46,347.0
312,9995.0,-0.34,-0.33,0.45,341.0
313,10028.0,-0.36,-0.34,0.46,342.0
314,10059.0,-0.35,-0.36,0.47,335.0
315,10092.0,-0.35,-0.34,0.47,331.0
316,10124.0,-0.36,-0.34,0.45,327.0
317,10157.0,-0.38,-0.35,0.46,328.0
318,10188.0,-0.38,-0.36,0.46,326.0
319,10221.0,-0.38,-0.36,0.44,326.0
320,10253.0,-0.37,-0.36,0.45,322.0
321,10286.0,-0.37,-0.39,0.44,320.0
322,10317.0,-0.35,-0.37,0.44,326.0
323,10350.0,-0.36,-0.36,0.44,325.0
324,10383.0,-0.37,-0.35,0.44,325.0
325,10415.0,-0.33,-0.33,0.47,322.0
326,10447.0,-0.34,-0.32,0.45,322.0
327,10479.0,-0.35,-0.32,0.45,324.0
328,10512.0,-0.36,-0.31,0.46,329.0
329,10544.0,-0.36,-0.32,0.45,345.0
330,10576.0,-0.36,-0.32,0.45,352.0
331,10608.0,-0.37,-0.3,0.46,355.0
332,10641.0,-0.35,-0.3,0.47,352.0
333,10673.0,-0.35,-0.31,0.48,351.0
334,10705.0,-0.36,-0.29,0.47,343.0
335,10737.0,-0.34,-0.28,0.44,338.0
336,10770.0,-0.34,-0.26,0.44,332.0
337,10803.0,-0.33,-0.31,0.48,326.0
338,10834.0,-0.37,-0.31,0.48,332.0
339,10867.0,-0.37,-0.3,0.48,331.0
340,10899.0,-0.37,-0.29,0.49,330.0
341,10932.0,-0.36,-0.3,0.48,330.0
342,10963.0,-0.33,-0.3,0.49,327.0
343,10996.0,-0.32,-0.3,0.49,326.0
344,11028.0,-0.33,-0.3,0.45,324.0
345,11061.0,-0.36,-0.31,0.46,322.0
346,11092.0,-0.37,-0.31,0.46,326.0
347,11125.0,-0.36,-0.29,0.47,322.0
348,11158.0,-0.34,-0.31,0.5,322.0
349,11190.0,-0.35,-0.3,0.49,325.0
350,11223.0,-0.35,-0.31,0.46,335.0
351,11254.0,-0.38,-0.32,0.48,348.0
352,11287.0,-0.35,-0.31,0.46,354.0
353,11319.0,-0.36,-0.31,0.46,356.0
354,11352.0,-0.36,-0.32,0.46,355.0
355,11383.0,-0.37,-0.31,0.44,358.0
356,11416.0,-0.36,-0.32,0.44,349.0
357,11448.0,-0.34,-0.33,0.44,342.0
358,11481.0,-0.38,-0.3,0.48,335.0
359,11512.0,-0.34,-0.32,0.48,331.0
360,11545.0,-0.34,-0.33,0.46,329.0
361,11578.0,-0.34,-0.32,0.46,327.0
362,11610.0,-0.33,-0.32,0.46,332.0
363,11642.0,-0.32,-0.34,0.45,332.0
364,11674.0,-0.35,-0.35,0.46,328.0
365,11707.0,-0.36,-0.36,0.47,324.0
366,11739.0,-0.37,-0.35,0.46,321.0
367,11771.0,-0.37,-0.35,0.46,319.0
368,11803.0,-0.37,-0.35,0.47,318.0
369,11836.0,-0.35,-0.38,0.46,317.0
370,11868.0,-0.36,-0.33,0.41,316.0
371,11900.0,-0.36,-0.36,0.41,324.0
372,11932.0,-0.4,-0.33,0.45,334.0
373,11965.0,-0.35,-0.4,0.45,350.0
374,11998.0,-0.33,-0.38,0.43,361.0
375,12029.0,-0.34,-0.37,0.45,362.0
376,12062.0,-0.32,-0.4,0.46,361.0
377,12094.0,-0.35,-0.37,0.44,356.0
378,12127.0,-0.33,-0.4,0.43,350.0
379,12158.0,-0.33,-0.38,0.45,345.0
380,12191.0,-0.33,-0.39,0.45,336.0
381,12223.0,-0.34,-0.38,0.44,330.0
382,12256.0,-0.36,-0.37,0.45,331.0
383,12288.0,-0.34,-0.37,0.46,330.0
384,12320.0,-0.34,-0.38,0.44,327.0
385,12352.0,-0.35,-0.38,0.44,322.0
386,12385.0,-0.35,-0.37,0.45,321.0
387,12418.0,-0.35,-0.39,0.44,323.0
388,12449.0,-0.36,-0.37,0.44,321.0
389,12482.0,-0.33,-0.38,0.46,321.0
390,12514.0,-0.34,-0.38,0.43,320.0
391,12547.0,-0.35,-0.37,0.45,319.0
392,12578.0,-0.33,-0.37,0.46,319.0
393,12611.0,-0.34,-0.37,0.45,316.0
